#Id	Names	Type	Con	RA	Dec	Mag	Size	Sep	PA	Class	Distance	Notes
1 Aqr	1 Aqr	Double	Aqr	20h 39m 24s	00° 29' 00"	A=5.1, B=11.3, C=11.5		AB=64.5, AC=66.6				
1 Cam	1 Cam	Double	Cam	04h 32m 00s	53° 55' 00"	5.8, 6.8		10.6	308			
10 Aquarii	10 Aquarii	Ast	Aqr	21h 00m 00s	-05° 35' 00"	5.8	29' x 15'					Elongated group of stars, with 1 bright one near the top
10 Mon	10 Mon/BUP 89	Double	Mon	06h 27m 58s	-04° 45' 44"	A=5.0, B=9.5, C=9.8		AB=77, AC=78	AB=257, AC=232			
100 Her, STF 2280	100 Her, STF 2280	Double	Her	18h 07m 50s	26° 06' 04"	A=5.8, B=5.8, C=11.8		AB=14.4, AC=79.9	AB=288, AC=183			
11-12 Cam	11-12 Cam	Double	Cam	05h 06m 08s	58° 58' 20"	5.2, 6.2		177	10			
118 Tau	118 Tau	Double	Tau	05h 29m 18s	25° 09' 00"	5.8, 6.7		4.7	209			
12 Com	12 Com/SHJ 143	Double	Com	12h 22m 30s	25° 50' 46"	A=4.8, B=11.8, C=8.9, D=10.0		AB=36.7, AC=59, AD=213	AB=57, AC=168, AD=132			
12 Lyn	12 Lyn/Struve 948	Double	Lyn	06h 46m 12s	59° 27' 00"	A=5.4, B=6.0, C=7.1		AB=1.9, AC=8.9	AB=65, AC=310			!
14 Aur	14 Aur	Double	Aur	05h 15m 24s	32° 41' 00"	A=5.0, B=7.3, C=9.0		AB=10, AC=14.2				
145 CMa	145 CMa	Double	CMa	07h 16m 37s	-23° 18' 56"	5.0, 5.8		26.8	50		6.272kly	
16,17 Dra	16,17 Dra	Double	Dra	16h 36m 12s	52° 55' 00"	A=5.4, B=6.4, C=5.5		AB=3.1, AC=90.1	AB=104, AC=193			
19 Lyn	19 Lyn	Double	Lyn	07h 22m 54s	55° 17' 00"	5.8, 6.7		14.7	316			
2 CVn	2 CVn	Double	CVn	12h 16m 06s	40° 40' 00"	5.8, 8.1		11				! gold, blue
24 Com	24 Com	Double	Com	12h 35m 06s	18° 23' 00"	5.1, 6.3		20.1	270			! yellow, blue
31 Cyg	31 Cyg	Double	Cyg	20h 13m 36s	46° 44' 00"	A=3.9, C=7.0, D=4.8		AC=109, AD=337	AC=173, AD=322			
32 Cam	32 Cam	Double	Cam	12h 49m 12s	83° 25' 00"	5.3, 5.7		20.9	324			
32 Eri	32 Eri	Double	Eri	03h 54m 18s	-02° 57' 00"	4.8, 5.9		6.9	348			! yellow, blue
36 Oph	36 Oph	Double	Oph	17h 15m 18s	-26° 36' 00"	5.1, 5.1		4.9	142			! orange pair
36 UMa, LDS 2863	36 UMa, LDS 2863	Double	UMa	10h 30m 38s	55° 58' 50"	A=4.8, B=8.8, C=11.4		AB=122, AC=240	AB=303, AC=292			
38 Lyn	38 Lyn	Double	Lyn	09h 18m 48s	36° 48' 00"	3.9, 6.1		2.6	224			
40,41 Dra	40,41 Dra	Double	Dra	18h 00m 12s	80° 00' 00"	5.7, 6.0		18.7	231			
41 Aqr	41 Aqr	Double	Aqr	22h 14m 18s	-21° 04' 00"	A=5.6, B=6.7, C=11.6		AB=5.2, AC=12.5				
41 Lep	41 Lep	Double	Lep	05h 21m 48s	-24° 46' 00"	A=5.5, B=6.6, C=9.2		AB=3.5, AC=61.3				
5 Aql	5 Aql/STF 2379	Double	Aql	18h 46m 29s	00° 57' 42"	A=5.9, B=7.0, C=11.3		AB=12.6, AC=21.8	AB=122, AC=156			
5 Lyn	5 Lyn/S 514/WAL 46	Double	Lyn	06h 26m 49s	58° 25' 03"	A=5.3, B=11.9, C=7.9, D=12.2		AB=32.4, AC=94.9, AD=92.8	AB=32, AC=94, AD=168			
51 Eri, BU 88, WAL 32	51 Eri, BU 88, WAL 32	Double	Eri	04h 37m 36s	-02° 28' 24"	A=5.2, B=11.8, C=10.5		AB=28, AC=66	AB=75, AC=163			
54 Leo	54 Leo	Double	Leo	10h 55m 36s	24° 45' 00"	4.5, 6.3		6.4	113			
55 Eri	55 Eri	Double	Eri	04h 43m 36s	-08° 48' 00"	6.7, 6.8		9.3	318			
57 Aql	57 Aql	Double	Aql	19h 54m 36s	-08° 14' 00"	5.7, 6.4		35.6	171			
6 Cas	6 Cas	Double	Cas	23h 48m 48s	62° 13' 00"	A=5.7, B=8.0, C=10.2		AB=1.5, AC=62.3				
61 Cyg	61 Cyg	Double	Cyg	21h 06m 54s	38° 45' 00"	5.2, 6.1		31.5	152		11.2ly	
62 Eri, SHJ 48, GMC 11	62 Eri, SHJ 48, GMC 11	Double	Eri	04h 56m 24s	-05° 10' 17"	A=5.4, B=8.9, C=11.4		AB=66, AC=127	AB=76, AC=331, AE=186			
65 Psc	65 Psc	Double	Psc	00h 49m 54s	27° 43' 00"	6.3, 6.3		4.3	115			
66 Eri, STF 642, HUB 5	66 Eri, STF 642, HUB 5	Double	Eri	05h 06m 46s	-04° 39' 19"	A=5.1, B=9.3, C=10.8		AB=1.6, AC=52.2	AB=233, AC=10			
7 LMi	7 LMi	Double	LMi	09h 30m 42s	33° 39' 00"	A=6.0, B=9.7, C=11.7		AB=63.2, AC=96.2				
70 Oph	70 Oph	Double	Oph	18h 05m 30s	02° 30' 00"	4.2, 6.2		5.9	130			! yellow, red
8 Lac	8 Lac	Double	Lac	22h 35m 54s	39° 38' 00"	5.7, 6.3		22.4	186			
94 Aqr	94 Aqr	Double	Aqr	23h 19m 06s	-13° 28' 00"	5.3, 7.0		12.6	349			
95 Her	95 Her	Double	Her	18h 01m 30s	21° 36' 00"	4.9, 5.2		6.2	257			! yellow, reddish
A	A/Weisman 1	Ast	Sex	10h 20m 00s	03° 07' 00"	9.0 - 11.0	11'					5 stars in the shape of a Chevron
AC Her	AC Her/HIP 90967	Carbon	Her	18h 30m 16s	21° 52' 00"	6.9 - 9.0				F2plb-K4e)		
