#id	flamsteed	bayer	con 	ra	dec	mag
1				000509.9	+451345	6.70
2				000503.8	-003011	6.29
3	33		Psc	000520.1	-054227	4.61
4	86		Peg	000542.0	+132346	5.51
5				000616.0	+582612	5.96
6				000619.0	-490430	5.70
7	10		Cas	000626.5	+641146	5.59
8				000636.8	+290117	6.13
9				000650.1	-230627	6.18
10				000718.2	-172311	6.19
11				000744.1	-023256	6.43
12				000746.8	-223032	5.94
13				000803.5	-333146	5.68
14				000812.1	-022652	6.07
15	21	Alp	And	000823.3	+290526	2.06
16				000817.4	-084926	5.99
17				000841.0	+363736	6.19
18				000833.4	-173439	6.06
19				000852.2	+252746	6.23
20				000920.2	+794253	6.01
21	11	Bet	Cas	000910.7	+590859	2.27
22	87		Peg	000902.4	+181243	5.53
23				000902.4	-540007	6.33
24		Kap1	Scl	000921.0	-275916	5.42
25		Eps	Phe	000924.7	-454451	3.88
26	34		Psc	001002.3	+110844	5.51
27	22		And	001019.3	+460420	5.03
28				001029.7	+570956	6.74
29				001018.8	-051455	5.84
30		Gam3	Oct	001002.1	-821326	5.28
31				001042.8	-123448	5.85
32				001038.6	-731328	6.64
33	6		Cet	001115.9	-152805	4.89
34		Kap2	Scl	001134.4	-274759	5.41
35		The	Scl	001144.0	-350759	5.25
36				001159.1	+480909	6.16
37				001210.0	-175618	5.25
38				001250.4	+374136	6.73
39	88	Gam	Peg	001314.2	+151101	2.83
40				001324.0	+265914	6.30
41	23		And	001330.8	+410207	5.72
42				001342.1	-260119	5.94
43				001344.2	-261705	6.31
44				001402.3	+331222	6.25
45	89	Chi	Peg	001436.2	+201224	4.80
46				001427.6	-074650	5.12
47				001319.4	-845939	5.77
48	7		Cet	001438.4	-185558	4.44
49				001456.1	+221703	6.24
50	35		Psc	001458.8	+084915	5.79
51				001454.5	-093411	5.75
52				001507.0	+313209	6.45
53				001510.6	+271659	6.35
54				001458.2	-345416	6.17
55				001614.0	+765703	6.35
56				001621.6	+433541	6.15
57				001608.9	-312647	5.67
58				001555.2	-755441	6.49
59	36		Psc	001634.1	+081424	6.11
60				001657.1	+613200	5.74
61				001642.5	-201238	6.47
62				001709.1	+475651	5.89
63	24	The	And	001705.5	+384054	4.61
64				001649.0	-784650	6.77
65				001743.0	+512559	6.14
66				001732.6	-190304	6.45
67				001747.7	+014120	6.17
68	25	Sig	And	001819.7	+364707	4.52
69				001817.2	+111221	6.05
70	26		And	001842.1	+434728	6.11
71				001838.3	+313102	5.87
72				001841.8	-080310	6.46
73				001842.6	-431407	6.33
74	8	Iot	Cet	001925.7	-084926	3.56
75				001941.6	+404347	6.33
76				002005.2	+485155	6.52
77		Zet	Tuc	002004.3	-645229	4.23
78				002024.4	+305609	5.90
79				002045.5	+325441	5.79
80	41		Psc	002035.9	+081125	5.37
81				002054.5	+105837	6.56
82	27	Rho	And	002107.3	+375807	5.18
83		Pi	Tuc	002039.0	-693730	5.51
84		Iot	Scl	002131.2	-285854	5.18
85				002146.3	-200328	5.12
86	42		Psc	002225.5	+132857	6.23
87				002128.6	-772537	5.97
88	9		Cet	002251.8	-121234	6.39
89				002312.6	-310210	6.55
90				002402.0	+383438	7.39
91				002415.6	+520112	5.57
92	NO	VA 1	572			
93	12		Cas	002447.5	+614952	5.40
94				002429.7	-021309	6.07
95	47		Tuc			
96				002506.4	+530249	5.74
97	44		Psc	002524.2	+015623	5.77
98		Bet	Hyi	002545.1	-771515	2.80
99		Alp	Phe	002617.0	-421822	2.39
100		Kap	Phe	002612.2	-434048	3.94
101	10		Cet	002637.4	-000259	6.19
102				002714.7	-253250	5.98
103	47		Psc	002802.9	+175335	5.06
104				002813.7	+442340	5.17
105		Eta	Scl	002755.7	-330026	4.81
106	48		Psc	002812.7	+162642	6.06
107				002820.1	+101123	6.04
108				002821.1	-202006	6.43
109				002826.4	-395454	5.43
110				002856.6	+365400	6.26
111				002843.1	-503158	6.26
112				003055.0	+770110	6.21
113				003019.9	+595838	5.94
114	28		And	003007.3	+294506	5.23
115				002951.9	-145151	6.14
116				002948.9	-320700	6.57
117	12		Cet	003002.4	-035726	5.72
118				003022.7	-234716	5.19
119				003027.8	-405622	6.19
120				003026.1	-481254	5.69
121	13		Cas	003125.3	+663110	6.18
122				003125.6	+333454	5.87
123	14	Lam	Cas	003146.4	+543120	4.73
124				003141.2	+525022	5.60
125		Lam1	Phe	003125.0	-484813	4.77
126		Bet1	Tuc	003132.7	-625729	4.37
127		Bet2	Tuc	003133.6	-625757	4.54
128				003226.8	+432941	6.70
129				003319.3	+705854	6.42
130	15	Kap	Cas	003300.0	+625554	4.16
131	52		Psc	003235.5	+201740	5.38
132	51		Psc	003223.8	+065720	5.67
133				003234.5	+273450	6.67
134				003249.1	+281649	6.30
135				003310.4	+545342	5.93
136		Bet3	Tuc	003243.8	-630152	5.09
137	16		Cas	003424.9	+664501	6.48
138				003341.1	-293330	5.55
139		The	Tuc	003323.3	-711558	6.13
140				003427.8	-522223	5.57
141				003455.3	+132216	6.40
142	13		Cet	003514.9	-033534	5.20
143	14		Cet	003532.8	-003020	5.93
144				003608.3	+541007	5.08
145				003554.7	+131224	6.41
146				003627.3	+601934	5.79
147		Lam2	Phe	003541.1	-480003	5.51
148				003533.4	-544919	6.06
149				003620.0	+271517	6.50
150				003603.0	-145825	6.45
151				003606.9	-225033	6.06
152				003646.6	+442919	5.13
153	17	Zet	Cas	003658.3	+535349	3.66
154	29	Pi	And	003652.9	+334310	4.36
155	53		Psc	003647.3	+151354	5.89
156				003707.2	+240051	6.47
157				003721.1	+352358	5.48
158				003947.3	+822938	6.40
159				003720.7	-244602	5.57
160				003637.4	-650729	6.42
161				003730.5	+030807	6.39
162				003718.1	-542339	6.41
163	30	Eps	And	003833.3	+291842	4.37
164				003909.9	+492116	5.43
165	31	Del	And	003919.7	+305139	3.27
166	54		Psc	003921.8	+211502	5.87
167	55		Psc	003955.6	+212618	5.36
168	18	Alp	Cas	004030.5	+563214	2.23
169				003840.8	-730814	6.85
170				003957.9	-335742	6.69
171				003952.0	-444748	6.01
172				004028.6	-163101	6.49
173				004032.9	-234816	6.14
174				004042.4	-042107	5.91
175	32		And	004107.2	+392731	5.33
176				004026.4	-592716	5.89
177				004203.4	+660851	5.83
178				004136.0	+243745	6.04
179	19	Xi	Cas	004203.9	+503045	4.80
180		Mu	Phe	004119.6	-460506	4.59
181				004231.1	+584512	6.17
182	M	31	And			
183		Xi	Phe	004146.4	-563006	5.70
184	20	Pi	Cas	004328.1	+470129	4.94
185		Lam1	Scl	004242.9	-382748	6.06
186				004241.8	-601545	5.98
187		Rho	Tuc	004228.4	-652805	5.39
188	16	Bet	Cet	004335.4	-175912	2.04
189				004426.4	+475151	5.67
190				004350.2	-120042	6.02
191		Eta	Phe	004321.2	-572747	4.36
192	21		Cas	004539.0	+745917	5.66
193	22	Omi	Cas	004443.5	+481704	4.54
194	17	Phi1	Cet	004411.4	-103634	4.76
195		Lam2	Scl	004412.1	-382518	5.90
196				004517.2	+551318	5.42
197				004444.4	-220022	5.24
198				004457.1	-424036	5.94
199				004432.3	-622952	6.07
200				004639.0	+691930	6.33
201				004524.1	-043745	6.15
202				004500.0	-534254	6.15
203	18		Cet	004528.7	-125251	6.15
204				004615.1	+551819	6.52
205				004610.9	+445141	6.05
206				004541.7	-162527	6.47
207				004642.4	+593428	6.39
208	23		Cas	004746.1	+745051	5.41
209				004545.6	-473306	5.80
210				004611.8	-223119	5.50
211	57		Psc	004633.0	+152832	5.38
212				004809.1	+724030	5.87
213	58		Psc	004701.5	+115826	5.50
214	59		Psc	004713.6	+193444	6.13
215	34	Zet	And	004720.3	+241602	4.06
216	60		Psc	004723.6	+064427	5.99
217	61		Psc	004754.8	+205531	6.54
218				004743.3	-180341	5.70
219	24	Eta	Cas	004906.0	+574857	3.44
220				004801.1	-214321	5.57
221	62		Psc	004817.4	+071800	5.93
222				004823.0	+051650	5.75
223	25	Nu	Cas	004850.1	+505806	4.89
224	63	Del	Psc	004841.0	+073506	4.43
225	64		Psc	004858.7	+165626	5.07
226	35	Nu	And	004948.8	+410444	4.53
227				004925.6	-133341	5.59
228				004913.9	-240811	5.90
229				004856.7	-464152	6.27
230	65		Psc	004952.8	+274239	7.0 
231	65		Psc	004953.2	+274237	7.1 
232				004933.4	-232142	6.28
233				005043.6	+641451	5.39
234				005018.3	+450008	6.15
235	19	Phi2	Cet	005007.6	-103840	5.19
236		Lam	Hyi	004835.4	-745524	5.07
237				005116.4	+614821	6.07
238				005057.4	+513029	6.39
239				005003.7	-432341	6.48
240				005453.1	+834226	5.62
241				005133.7	+513416	6.21
242		Rho	Phe	005041.2	-505913	5.22
243				005118.3	+032306	6.37
244				005304.1	+610727	4.82
245				005152.1	-434233	6.90
246				005253.4	+383255	6.69
247				005240.6	-240021	5.46
248	20		Cet	005300.5	-010839	4.77
249				005328.2	+372505	6.06
250				005347.6	+524121	6.27
251				005312.4	-244637	6.46
252		Lam1	Tuc	005224.3	-693016	6.22
253	26	Ups1	Cas	005500.1	+585822	4.83
254	66		Psc	005435.2	+191118	5.74
255	21		Cet	005417.6	-084427	6.16
256				005505.2	+484043	6.27
257				005337.9	-625217	5.70
258	36		And	005458.0	+233742	5.47
259				005514.7	+243325	6.20
260				005612.9	+575948	6.21
261				005655.6	+684634	6.37
262	67		Psc	005558.5	+271234	6.09
263				005542.4	-072050	5.85
264	27	Gam	Cas	005642.5	+604300	2.47
265	28	Ups2	Cas	005639.8	+591052	4.63
266				005647.1	+602146	5.55
267	22	Phi3	Cet	005601.5	-111600	5.31
268				005555.5	-274632	6.10
269	37	Mu	And	005645.2	+382958	3.87
270		Lam2	Tuc	005500.3	-693137	5.45
271	38	Eta	And	005712.4	+232503	4.42
272				005739.7	+455023	6.12
273				005831.1	+662108	5.97
274	68		Psc	005750.2	+285932	5.42
275				005814.2	+335703	5.98
276				005754.5	+134145	6.32
277				005818.9	+212416	6.37
278				010031.0	+705859	6.39
279	23	Phi4	Cet	005843.9	-112248	5.61
280		Alp	Scl	005836.4	-292127	4.31
281				005822.4	-604147	6.23
282				010003.4	+444240	6.84
283				010003.6	+444248	6.04
284				005949.7	+062859	6.11
285				010844.7	+861525	4.25
286				013350.4	+890056	6.46
287				010218.4	+510206	6.47
288		Xi	Scl	010118.3	-385500	5.59
289				010301.5	+472234	6.45
290	39		And	010254.3	+412042	5.98
291	69	Sig	Psc	010249.1	+314816	5.50
292				010337.0	+610430	5.92
293		Sig	Scl	010226.4	-313307	5.50
294	71	Eps	Psc	010256.6	+075324	4.28
295		Ome	Phe	010201.8	-570009	6.11
296	25		Cet	010302.6	-045012	5.43
297				010419.6	+613449	5.84
298				010402.4	+523008	5.99
299				010249.2	-462351	5.36
300				010317.6	-293133	6.29
301	26		Cet	010349.0	+012200	6.04
302				010446.8	+510036	6.54
303				010427.6	+293931	6.19
304				010242.9	-652722	6.21
305				010436.4	+395928	6.72
